,pdb_code,ligand_name_file,ligand_name_aff,ligand_name_nci,ligand_fpath,affinity,datagroup,release_year
0,1ai5,MNP,MNP,MNP,../../dataspace/pdb_bind_2020/1ai5/1ai5_ligand.pdb,3.72,refined,1997
1,1thz,326,326,326,../../dataspace/pdb_bind_2020/1thz/1thz_ligand.pdb,5.15,refined,2004
2,4xiq,40Y,40Y,40Y,../../dataspace/pdb_bind_2020/4xiq/4xiq_ligand.pdb,7.07,refined,2015
3,3eqr,T74,T74,T74,../../dataspace/pdb_bind_2020/3eqr/3eqr_ligand.pdb,8.7,refined,2008
4,6d2o,4MZ,4MZ,4MZ,../../dataspace/pdb_bind_2020/6d2o/6d2o_ligand.pdb,5.3,refined,2018
5,4pvy,JD1,JD1,JD1,../../dataspace/pdb_bind_2020/4pvy/4pvy_ligand.pdb,6.71,refined,2015
6,5m23,7DC,7DC,7DC,../../dataspace/pdb_bind_2020/5m23/5m23_ligand.pdb,8.9,refined,2017
7,3own,3OX,3OX,3OX,../../dataspace/pdb_bind_2020/3own/3own_ligand.pdb,7.47,refined,2010
8,4lhv,GDP,GDP,GDP,../../dataspace/pdb_bind_2020/4lhv/4lhv_ligand.pdb,10.0,refined,2013
9,4r4t,3J0,3J0,3J0,../../dataspace/pdb_bind_2020/4r4t/4r4t_ligand.pdb,6.26,refined,2014
10,1i7z,COC,COC,COC,../../dataspace/pdb_bind_2020/1i7z/1i7z_ligand.pdb,6.4,refined,2001
11,1zdp,TIO,TIO,TIO,../../dataspace/pdb_bind_2020/1zdp/1zdp_ligand.pdb,5.74,refined,2005
12,6czc,TTP,TTP,TTP,../../dataspace/pdb_bind_2020/6czc/6czc_ligand.pdb,4.78,refined,2018
13,3ujd,PC,PC,PC,../../dataspace/pdb_bind_2020/3ujd/3ujd_ligand.pdb,4.69,refined,2011
14,2jg0,TTZ,TTZ,TTZ,../../dataspace/pdb_bind_2020/2jg0/2jg0_ligand.pdb,7.82,refined,2007
15,2qtg,MTH,MTH,MTH,../../dataspace/pdb_bind_2020/2qtg/2qtg_ligand.pdb,5.08,refined,2008
16,1jjt,BDS,BDS,BDS,../../dataspace/pdb_bind_2020/1jjt/1jjt_ligand.pdb,8.05,general,2001
17,3dsu,FPP,FPP,FPP,../../dataspace/pdb_bind_2020/3dsu/3dsu_ligand.pdb,7.03,general,2008
18,2p0d,I3P,I3P,I3P,../../dataspace/pdb_bind_2020/2p0d/2p0d_ligand.pdb,7.0,general,2007
19,5h17,LQE,LQE,LQE,../../dataspace/pdb_bind_2020/5h17/5h17_ligand.pdb,6.05,general,2017
20,4l31,F08,F08,F08,../../dataspace/pdb_bind_2020/4l31/4l31_ligand.pdb,6.79,general,2013
21,4xg7,X7G,X7G,X7G,../../dataspace/pdb_bind_2020/4xg7/4xg7_ligand.pdb,7.49,general,2015
22,3oj8,OJ8,OJ8,OJ8,../../dataspace/pdb_bind_2020/3oj8/3oj8_ligand.pdb,8.36,general,2011
23,2c5y,MTW,MTW,MTW,../../dataspace/pdb_bind_2020/2c5y/2c5y_ligand.pdb,6.6,general,2006
24,3unk,0BY,0BY,0BY,../../dataspace/pdb_bind_2020/3unk/3unk_ligand.pdb,4.82,general,2012
25,5oq5,4K4,4K4,4K4,../../dataspace/pdb_bind_2020/5oq5/5oq5_ligand.pdb,7.7,general,2017
26,5alt,9XZ,9XZ,9XZ,../../dataspace/pdb_bind_2020/5alt/5alt_ligand.pdb,4.88,general,2015
27,2nng,ZYX,ZYX,ZYX,../../dataspace/pdb_bind_2020/2nng/2nng_ligand.pdb,5.36,general,2007
28,5mnb,2AP,2AP,2AP,../../dataspace/pdb_bind_2020/5mnb/5mnb_ligand.pdb,2.48,general,2017
29,6e91,J04,J04,J04,../../dataspace/pdb_bind_2020/6e91/6e91_ligand.pdb,6.62,general,2019
